Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2,Genebiotype,Genesymbol
ENSG00000120833,1404,1884,1055,1028,673,242,245,603,protein_coding,SOCS2
ENSG00000120837,5757,6270,2978,3182,518,159,173,474,protein_coding,NFYB
ENSG00000120860,3378,4053,3326,3784,102,31,22,82,protein_coding,WASHC3
ENSG00000120868,498,534,355,427,1105,348,189,474,protein_coding,APAF1
ENSG00000120875,1279,1383,1279,1633,2788,837,1077,3037,protein_coding,DUSP4
ENSG00000120885,1320,1602,375,515,5949,2154,2338,6695,protein_coding,CLU
ENSG00000120889,3919,4954,4538,6109,1597,460,573,1467,protein_coding,TNFRSF10B
ENSG00000120896,759,802,916,1301,1198,441,393,999,protein_coding,SORBS3
ENSG00000120899,7469,9128,5078,6652,67,33,29,91,protein_coding,PTK2B
ENSG00000120903,2278,2574,1259,2116,0,0,0,0,protein_coding,CHRNA2
ENSG00000120907,16,39,73,70,2,0,3,6,protein_coding,ADRA1A
ENSG00000120910,970,1073,762,965,264,65,71,269,protein_coding,PPP3CC
ENSG00000120913,179,183,96,198,431,143,77,158,protein_coding,PDLIM2
ENSG00000120915,1142,1232,1962,2707,144,61,119,269,protein_coding,EPHX2
ENSG00000120925,346,389,414,498,472,181,168,431,protein_coding,RNF170
ENSG00000120937,0,0,1,0,0,0,0,0,protein_coding,NPPB
ENSG00000120942,826,893,1461,1992,456,164,318,824,protein_coding,UBIAD1
ENSG00000120948,10498,11873,10374,12490,3718,1209,1217,3508,protein_coding,TARDBP
ENSG00000120949,15,11,13,30,2,0,1,1,protein_coding,TNFRSF8
ENSG00000120952,0,0,0,0,0,0,0,0,protein_coding,PRAMEF2
ENSG00000120963,1908,2229,2190,2385,1105,402,594,1581,protein_coding,ZNF706
ENSG00000120992,4370,4782,5945,5983,451,140,175,388,protein_coding,LYPLA1
ENSG00000121005,40,40,21,39,261,75,136,324,protein_coding,CRISPLD1
ENSG00000121022,1728,2123,1922,2403,687,247,329,829,protein_coding,COPS5
ENSG00000121039,588,608,653,798,1071,360,1009,3180,protein_coding,RDH10
